step,train_loss,val_loss,val_perplexity,lr,accumulated_time,train_tokens_per_sec,peak_vram_gb
500,8.98100013923645,7.4001012166341145,1636.1500272138496,3.75e-05,315.37050481999995,51951.592649259605,11.591790676116943
1000,6.996240684986114,6.596291097005208,732.3738422187598,7.5e-05,632.2716943320002,51700.65794082348,11.591790676116943
1500,6.345105509757996,6.072925821940104,433.9484819803977,0.0001125,949.4032408210005,51663.103785760635,11.591790676116943
2000,5.894073185443879,5.626882934570313,277.7948619281857,0.00015,1266.0238784440007,51746.46896993621,11.591790676116943
2500,5.463793255329132,5.201079813639323,181.4680878338977,0.00018749999999999998,1583.1318803230006,51666.939663830075,11.591790676116943
3000,5.09208934545517,4.876100667317709,131.11839154537105,0.000225,1900.0294959049997,51701.24101410458,11.591790676116943
3500,4.809294124364853,4.630753580729166,102.59134584903285,0.0002625,2216.662779309,51744.40230623273,11.591790676116943
4000,4.5945250144004826,4.449382527669271,85.57408805373655,0.0002999999999999999,2533.4645395320013,51716.88436474304,11.591790676116943
4500,4.424522784948349,4.298770141601563,73.60920910388198,0.00029975369982014784,2850.3787098440016,51698.540282594615,11.591790676116943
5000,4.3220420751571655,4.18746821085612,65.8558465981452,0.00029901569800323726,3167.3113534390004,51695.526892259004,11.591790676116943
5500,4.195270556211471,4.084947713216146,59.4388298047458,0.00029778868743786434,3484.0514182820016,51726.95790196631,11.591790676116943
6000,4.088162635326386,3.9903605143229166,54.07438043836049,0.000296077145352517,3800.8021177850014,51725.221209321535,11.591790676116943
6500,4.0172666692733765,3.913859558105469,50.09191200865457,0.00029388731697865356,4117.529758152,51728.987028146774,11.591790676116943
7000,3.9454610483646393,3.8501907348632813,47.002027301923114,0.000291227192762531,4434.37764577,51709.355309804014,11.591790676116943
7500,3.872316504240036,3.794664001464844,44.46329429365458,0.0002881064792089321,4751.34263547,51690.25139182431,11.591790676116943
8000,3.8321620938777925,3.7535298665364585,42.67144096192061,0.0002845365634631833,5067.942141768,51749.92277018436,11.591790676116943
8500,3.809054408311844,3.708867899576823,40.80758208562445,0.00028053047176069537,5384.913462186,51689.21900692426,11.591790676116943
9000,3.7621227231025696,3.6753209431966147,39.46131966714709,0.0002761028218956435,5701.902265917001,51686.368121391366,11.591790676116943
9500,3.728621155023575,3.639611307779948,38.0770336019322,0.0002712697698822217,6018.5562868880015,51741.01358245655,11.591790676116943
10000,3.681853021860123,3.6140823364257812,37.11726912666729,0.0002660489510030986,6334.938357287,51785.48828426864,11.591790676116943
10500,3.6681557207107542,3.593835957845052,36.373335239951125,0.00026045941546018383,6652.052822625002,51665.88658305717,11.591790676116943
11000,3.6536760122776033,3.5645118713378907,35.32220741364338,0.00025452155886250734,6969.032787836001,51687.809319727494,11.591790676116943
11500,3.617775509595871,3.5397984822591146,34.45997419496021,0.0002482570478048533,7285.7506337620025,51730.5867375342,11.591790676116943
12000,3.600545951128006,3.52181396484375,33.84576784627119,0.00024168874080870599,7602.528217351003,51720.83142491935,11.591790676116943
12500,3.5755688531398775,3.5004959106445312,33.13187833648825,0.00023484060491398362,7919.133177876004,51749.031262276214,11.591790676116943
13000,3.5605882625579834,3.4820180257161457,32.525292769171834,0.0002277376282259087,8235.922282733005,51718.95039570824,11.591790676116943
13500,3.5377050127983094,3.4660736083984376,32.01080840408532,0.00022040572873612216,8552.523790607003,51749.59560369667,11.591790676116943
14000,3.530140921354294,3.451422627766927,31.545237532982643,0.00021287165975074227,8868.958052940005,51776.946905825935,11.591790676116943
14500,3.5190861268043516,3.435650126139323,31.05159345732886,0.00020516291227045238,9185.658612505003,51733.41033089455,11.591790676116943
15000,3.507422727584839,3.4178131103515623,30.502636129429384,0.00019730761467882027,9502.642916898003,51687.10176793799,11.591790676116943
15500,3.4867365210056307,3.404816182454427,30.108760696724282,0.00018933443010487726,9819.639706065003,51685.06609500255,11.591790676116943
16000,3.473592979431152,3.389923858642578,29.66369355048586,0.00018127245183446856,10136.367525957006,51728.95770755651,11.591790676116943
16500,3.45628978061676,3.3796361287434897,29.36008587804265,0.0001731510971520086,10453.320020827005,51692.2891132947,11.591790676116943
17000,3.446016296386719,3.36468505859375,28.924386377501598,0.00016499999999999997,10770.164444292006,51709.920663349694,11.591790676116943
17500,3.433139840126038,3.3541188557942707,28.620374399728824,0.00015684890284799134,11087.043621415009,51704.24938853033,11.591790676116943
18000,3.4254423480033873,3.3450157165527346,28.361021400639295,0.0001487275481655314,11403.965664637011,51697.25599845092,11.591790676116943
18500,3.410279294252396,3.3333765665690103,28.032836818569116,0.0001406655698951227,11720.457760984014,51767.485473117544,11.591790676116943
19000,3.3944243381023407,3.3236735026041666,27.762147790046953,0.0001326923853211797,12037.000241747015,51759.24558532448,11.591790676116943
19500,3.398471652269363,3.3127415974934897,27.460307475561056,0.0001248370877295476,12353.881867643015,51703.84983248357,11.591790676116943
20000,3.378847102165222,3.303822326660156,27.21647059610552,0.00011712834024925766,12670.965406253015,51670.925812871115,11.591790676116943
20500,3.3838452632427214,3.2946380615234374,26.96765167254994,0.00010959427126387784,12987.607894893017,51742.89802474155,11.591790676116943
21000,3.3633765294551847,3.286847941080729,26.758386576402486,0.00010226237177409123,13304.397816710016,51718.81701926304,11.591790676116943
21500,3.366984110593796,3.2789576212565104,26.548085112303173,9.51593950860163e-05,13621.194221224016,51717.7586820622,11.591790676116943
22000,3.357564227104187,3.271997578938802,26.363950850914748,8.831125919129396e-05,13937.955287118015,51723.528438569934,11.591790676116943
22500,3.3513648927211763,3.264231872558594,26.160009050566195,8.174295219514667e-05,14254.482033969014,51761.81843398073,11.591790676116943
23000,3.329650932073593,3.2569732666015625,25.97081133954517,7.547844113749266e-05,14571.592465210013,51666.54384682925,11.591790676116943
23500,3.3310069131851194,3.251471455891927,25.828317198914174,6.954058453981609e-05,14888.613014175013,51681.1924447486,11.591790676116943
24000,3.3261742193698884,3.2469716389973957,25.71235559947653,6.395104899690133e-05,15205.217668985015,51749.08123139319,11.591790676116943
24500,3.3266392629146577,3.242108154296875,25.58760755240702,5.873023011777823e-05,15522.064246748012,51709.56907811487,11.591790676116943
25000,3.3146814904212953,3.237121327718099,25.460324224696258,5.3897178104356386e-05,15838.80429626101,51726.96040551581,11.591790676116943
25500,3.309600994348526,3.232744344075521,25.349128330858306,4.946952823930459e-05,16155.775524156013,51689.234094859945,11.591790676116943
26000,3.3086010417938234,3.2274098714192707,25.214264133418887,4.546343653681667e-05,16472.50203226001,51729.17195367884,11.591790676116943
26500,3.296697062253952,3.223559824625651,25.11737467080253,4.1893520791067837e-05,16789.198301719007,51734.1111342686,11.591790676116943
27000,3.2934536254405975,3.220869445800781,25.049890237901653,3.877280723746901e-05,17105.99342690201,51717.967536702214,11.591790676116943
27500,3.2855390589237214,3.2179944356282553,24.97797497673646,3.611268302134634e-05,17422.86134715501,51706.086204366635,11.591790676116943
28000,3.2954080641269683,3.214459991455078,24.889847551097997,3.392285464748298e-05,17740.02844400401,51657.313015039086,11.591790676116943
28500,3.292738739490509,3.2115264892578126,24.81694011795824,3.2211312562135625e-05,18056.71903733801,51735.038377727826,11.591790676116943
29000,3.2798926277160643,3.2095326741536456,24.76750902251948,3.098430199676271e-05,18373.44253726801,51729.66326660692,11.591790676116943
29500,3.2883015167713165,3.2078598022460936,24.72611078908095,3.0246300179852134e-05,18690.21779162901,51721.211724854686,11.591790676116943
30000,3.2836709451675414,3.2059089660644533,24.677921217785162,2.9999999999999997e-05,19007.20492167001,51686.64102508129,11.591790676116943
