step,train_loss,val_loss,val_perplexity,lr,accumulated_time,train_tokens_per_sec,peak_vram_gb
500,9.64240788459778,8.102562459309896,3302.920840983377,1e-05,186.94990144699116,87638.45219060259,17.29324197769165
1000,7.529338784217835,7.183690388997396,1317.7623516739925,2e-05,346.39904451800976,102753.76640125668,17.29324197769165
1500,6.995121713638306,6.801801554361979,899.4662702561865,3.0000000000000004e-05,505.8289895170601,102766.13969914868,17.29324197769165
2000,6.654229714870453,6.510039265950521,671.8527980118887,4e-05,665.3744857310085,102691.71107173892,17.29324197769165
2500,6.438320825099945,6.322433471679688,556.9266099214359,5e-05,824.7547352820402,102798.18262396452,17.29324197769165
3000,6.271682574272155,6.165494791666666,476.0366236280232,6.000000000000001e-05,984.37836305605,102641.44618487149,17.29324197769165
3500,6.143232534885406,6.043467203776042,421.35141639470896,7.000000000000001e-05,1144.0962505110656,102580.87094104943,17.29324197769165
4000,6.04897318315506,5.9749399820963545,393.44448666916816,8e-05,1303.5597140260506,102744.5387103383,17.29324197769165
4500,5.884467060565949,5.754930623372396,315.7436415352952,7.993431995203944e-05,1462.974030639045,102776.21450885732,17.29324197769165
5000,5.696682448863983,5.597222391764323,269.67631102896246,7.973751946752994e-05,1622.4988215880585,102705.03977802776,17.29324197769165
5500,5.574445804595947,5.472416687011719,238.0347537121691,7.941031665009718e-05,1781.9039221580606,102782.1565396211,17.29324197769165
6000,5.43849614906311,5.353080240885417,211.2580222967392,7.895390542733788e-05,1941.7221447490735,102516.46986418992,17.29324197769165
6500,5.341534507274628,5.261480712890625,192.76671223566387,7.836995119430765e-05,2101.230310654093,102715.74440744316,17.29324197769165
7000,5.255889392375946,5.171110026041666,176.11021595232057,7.766058473667494e-05,2260.895480631094,102614.74059971904,17.29324197769165
7500,5.150765664577484,5.0964711507161455,163.4441187736927,7.682839445571525e-05,2420.532144831086,102633.06416547392,17.29324197769165
8000,5.081088195800781,5.0164845784505205,150.87996372322786,7.587641692351556e-05,2581.120568010083,102024.7890580374,17.29324197769165
8500,5.03060822725296,4.963550821940104,143.1010210761916,7.480812580285212e-05,2741.223045653081,102334.45628826277,17.29324197769165
9000,4.975437064170837,4.978443400065104,145.24811239164578,7.362741917217164e-05,2900.8327128370875,102650.42393147598,17.29324197769165
9500,5.019271353244782,4.898157755533855,134.04261282224775,7.233860530192581e-05,3060.380416070111,102690.2905400696,17.29324197769165
10000,4.924196657657624,4.86605224609375,129.80745616286978,7.094638693415965e-05,3220.200218923157,102515.45620454218,17.29324197769165
10500,4.869381342887879,4.815691630045573,123.43215218000506,6.945584412271571e-05,3380.465083682153,102230.76670384392,17.29324197769165
11000,4.82948211979866,4.771822102864584,118.13429881759416,6.787241569666863e-05,3541.496323471132,101744.23311569942,17.29324197769165
11500,4.779441968202591,4.757643636067709,116.4711538685488,6.620187941462756e-05,3700.981791119091,102730.3630959361,17.29324197769165
12000,4.755359302997589,4.692950948079427,109.17487430774668,6.44503308823216e-05,3861.489212886081,102076.27672061672,17.29324197769165
12500,4.702465852975846,4.657270812988282,105.34817458877184,6.262416131039565e-05,4021.705718306068,102261.62377622371,17.29324197769165
13000,4.670810794830322,4.633893839518229,102.91401559260623,6.073003419357568e-05,4181.148558097077,102757.82858280429,17.29324197769165
13500,4.629745823383331,4.585420227050781,98.04437938685015,5.877486099629926e-05,4340.539371785068,102791.36934498524,17.29324197769165
14000,4.60240392780304,4.556913757324219,95.2889407588285,5.676577593353128e-05,4502.120019038091,101398.28177779118,17.29324197769165
14500,4.5763231332302095,4.5318959554036455,92.93459399977914,5.471010993878732e-05,4661.82534706709,102588.93802857403,17.29324197769165
15000,4.554044357061386,4.502089436848959,90.20541304460652,5.261536391435209e-05,4821.382374779088,102684.28934119536,17.29324197769165
15500,4.525559707164764,4.479642740885416,88.2031556648207,5.048918136130061e-05,4980.887147833128,102717.92929011106,17.29324197769165
16000,4.49687437582016,4.448849487304687,85.52848576565137,4.833932048919162e-05,5140.3718823081,102730.83536136878,17.29324197769165
16500,4.467187916517258,4.424691772460937,83.48707024161776,4.6173625907202295e-05,5300.012104635069,102630.77663750017,17.29324197769165
17000,4.445327819108963,4.400043741861979,81.4544315555465,4.4e-05,5459.978193423071,102421.70777653516,17.29324197769165
17500,4.424283669471741,4.382932535807291,80.07250492686201,4.18263740927977e-05,5619.389308095095,102778.27887791125,17.29324197769165
18000,4.406989425182343,4.358250935872396,78.1203773098804,3.9660679510808376e-05,5779.776616707095,102152.72107118672,17.29324197769165
18500,4.380289417266845,4.3392822265625,76.65250045918832,3.75108186386994e-05,5941.253646321071,101463.3476920358,17.29324197769165
19000,4.352756474971772,4.321839396158854,75.32705723990064,3.538463608564794e-05,6100.913831581071,102617.94431291286,17.29324197769165
19500,4.357902660131455,4.30807139078776,74.29706068060018,3.32898900612127e-05,6260.8633535670815,102432.31612428908,17.29324197769165
20000,4.331759849071503,4.2913462320963545,73.06476445122165,3.1234224066468714e-05,6420.569890250103,102588.16163873293,17.29324197769165
20500,4.329530751228332,4.277500915527344,72.06013044366306,2.9225139003700764e-05,6580.076112470124,102716.99606426684,17.29324197769165
21000,4.302095771551132,4.263000996907552,71.02280317158255,2.7269965806424333e-05,6739.738975838118,102616.2230489244,17.29324197769165
21500,4.302793162345886,4.250616963704427,70.14867818694381,2.5375838689604355e-05,6899.670233650075,102444.01391042568,17.29324197769165
22000,4.284827384948731,4.237007395426432,69.20045207143099,2.35496691176784e-05,7059.395838708035,102575.91445062745,17.29324197769165
22500,4.276201417446137,4.2258458455403645,68.43236228378628,2.179812058537245e-05,7218.982590959058,102665.16342301796,17.29324197769165
23000,4.251191071033478,4.216911315917969,67.8236745342735,2.0127584303331385e-05,7378.554333251028,102674.8205206788,17.29324197769165
23500,4.253464900255203,4.205289204915364,67.03998315563473,1.8544155877284293e-05,7569.101886180029,85983.78592720482,17.287839889526367
